name,community,,Total:,  Male:,    Under 5 years,    5 to 9 years,    10 to 14 years,    15 to 17 years,    18 and 19 years,    20 years,    21 years,    22 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 and 61 years,    62 to 64 years,    65 and 66 years,    67 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over,  Female:,    Under 5 years,    5 to 9 years,    10 to 14 years,    15 to 17 years,    18 and 19 years,    20 years,    21 years,    22 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 and 61 years,    62 to 64 years,    65 and 66 years,    67 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over
,,Margin of Error,*****,+/-216,+/-131,+/-743,+/-749,+/-105,+/-118,+/-463,+/-356,+/-621,+/-204,+/-130,+/-769,+/-800,+/-132,+/-120,+/-523,+/-417,+/-446,+/-368,+/-346,+/-357,+/-332,+/-331,+/-332,+/-216,+/-124,+/-753,+/-740,+/-108,+/-154,+/-429,+/-349,+/-533,+/-103,+/-79,+/-729,+/-745,+/-114,+/-122,+/-566,+/-387,+/-462,+/-428,+/-378,+/-405,+/-456,+/-440,+/-462
"Lexington-Fayette, KY Metro Area; Kentucky",Lexington,Estimate,466479,228569,15429,14943,14704,8778,7735,4175,4647,11841,18010,17351,16410,16331,16591,15580,13287,5145,6217,3443,4133,5268,3904,2863,1784,237910,14950,14317,13837,8279,8173,4354,4597,11894,17883,16726,16121,15891,17019,16937,14589,5223,7135,3555,4817,7070,5697,4065,4781
,,Margin of Error,*****,+/-392,+/-236,+/-533,+/-566,+/-201,+/-158,+/-497,+/-449,+/-602,+/-173,+/-245,+/-759,+/-692,+/-188,+/-225,+/-440,+/-379,+/-365,+/-301,+/-338,+/-419,+/-276,+/-292,+/-235,+/-392,+/-199,+/-611,+/-591,+/-141,+/-150,+/-593,+/-511,+/-609,+/-169,+/-204,+/-622,+/-619,+/-151,+/-218,+/-483,+/-349,+/-425,+/-315,+/-300,+/-373,+/-305,+/-292,+/-326
"Detroit-Warren-Livonia, MI Metro Area; Michigan",Detroit,Estimate,4320982,2095625,134961,147549,158107,103607,59140,28754,27011,70844,126704,126176,142890,155582,165744,163639,142672,48372,60965,34388,41524,55226,42637,34298,24835,2225357,129504,140560,150964,98508,54803,28972,25495,71408,131457,133566,150982,162020,172679,173245,150937,54624,68143,38324,50057,68729,60248,54390,55742
,,Margin of Error,*****,+/-269,+/-106,"+/-1,940","+/-1,910",+/-121,+/-134,"+/-1,141","+/-1,191","+/-1,435",+/-115,+/-166,"+/-1,808","+/-1,809",+/-163,+/-129,"+/-1,661","+/-1,305","+/-1,266",+/-761,+/-878,+/-946,+/-757,+/-912,+/-822,+/-269,+/-74,"+/-1,698","+/-1,639",+/-101,+/-155,"+/-1,106",+/-958,"+/-1,189",+/-137,+/-145,"+/-1,891","+/-1,894",+/-169,+/-131,"+/-1,331","+/-1,297","+/-1,234","+/-1,043","+/-1,145","+/-1,243","+/-1,137","+/-1,114","+/-1,147"
"Duluth, MN-WI Metro Area (part); Minnesota",Duluth,Estimate,234990,118266,6613,6570,6794,4624,4592,2546,2305,5521,7278,6715,6653,7335,8743,9640,9358,3269,3818,2334,2889,3512,2959,2641,1557,116724,6327,6163,6479,4138,4271,2090,1781,5367,6416,6059,6266,6702,8672,9491,8660,2968,3868,2460,2820,4209,3913,3381,4223
,,Margin of Error,*****,+/-121,+/-58,+/-288,+/-285,+/-55,+/-151,+/-358,+/-315,+/-427,+/-173,+/-149,+/-311,+/-321,+/-87,+/-131,+/-328,+/-272,+/-254,+/-189,+/-199,+/-205,+/-191,+/-217,+/-188,+/-121,+/-44,+/-282,+/-282,+/-55,+/-89,+/-333,+/-243,+/-347,+/-116,+/-91,+/-292,+/-299,+/-106,+/-84,+/-337,+/-242,+/-278,+/-195,+/-190,+/-220,+/-270,+/-282,+/-273
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area (part); Minnesota",St. Paul,Estimate,3135294,1547845,110889,109944,111821,69152,41766,19721,20099,63219,119137,109295,109139,114877,124978,115585,94543,32426,40467,21672,26226,33240,25970,18505,15174,1587449,106814,106107,106137,65752,39271,19922,19260,63289,119948,108316,107181,116349,125418,117309,99559,34800,42867,23662,29635,39922,34405,29002,32524
,,Margin of Error,*****,+/-385,+/-258,"+/-1,544","+/-1,526",+/-219,+/-299,+/-885,+/-935,"+/-1,155",+/-251,+/-215,"+/-1,610","+/-1,569",+/-227,+/-222,"+/-1,120",+/-883,+/-978,+/-691,+/-678,+/-739,+/-611,+/-545,+/-649,+/-385,+/-221,"+/-1,395","+/-1,423",+/-180,+/-256,+/-927,+/-935,"+/-1,205",+/-273,+/-264,"+/-1,331","+/-1,316",+/-206,+/-206,"+/-1,029",+/-850,+/-902,+/-685,+/-880,+/-910,+/-926,+/-738,+/-852
"Gulfport-Biloxi, MS Metro Area; Mississippi",Biloxi,Estimate,245736,121860,8758,8230,8345,5113,4128,2038,2261,5148,8548,7749,8013,8003,9211,8846,7598,3081,3447,2101,2356,3788,2556,1560,982,123876,8512,7676,8229,5124,3112,1754,1624,5217,8584,7701,7806,8481,9479,8915,9159,2366,3585,2132,3213,3839,3010,2404,1954
,,Margin of Error,*****,+/-295,+/-234,+/-558,+/-538,+/-141,+/-84,+/-337,+/-313,+/-437,+/-163,+/-165,+/-574,+/-601,+/-279,+/-209,+/-430,+/-384,+/-376,+/-275,+/-284,+/-292,+/-252,+/-221,+/-189,+/-295,+/-196,+/-497,+/-487,+/-187,+/-160,+/-330,+/-355,+/-399,+/-187,+/-126,+/-471,+/-457,+/-170,+/-161,+/-421,+/-341,+/-398,+/-258,+/-291,+/-268,+/-304,+/-264,+/-295
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part); North Carolina",Charlotte,Estimate,1508514,733694,56767,56937,54608,32620,19913,10767,8742,27414,54161,55883,59503,59319,55684,48318,39019,14315,19036,9479,12644,15390,10790,7138,5247,774820,54117,54426,52795,30840,18894,9044,9448,29039,56859,58991,62925,60111,57793,51459,44045,16285,20911,11853,14777,19159,14886,12645,13518
,,Margin of Error,*****,+/-236,+/-185,"+/-1,227","+/-1,233",+/-142,+/-176,+/-554,+/-632,+/-763,+/-177,+/-223,"+/-1,341","+/-1,386",+/-197,+/-160,+/-869,+/-767,+/-689,+/-573,+/-651,+/-637,+/-458,+/-480,+/-384,+/-236,+/-124,"+/-1,294","+/-1,304",+/-90,+/-221,+/-733,+/-709,+/-859,+/-223,+/-152,"+/-1,322","+/-1,306",+/-167,+/-190,+/-912,+/-734,+/-802,+/-668,+/-663,+/-669,+/-625,+/-633,+/-667
